id	filename	md5	size	state
0039181f-544b-4ee6-8d6b-ea9daf1adfe0	0039181f-544b-4ee6-8d6b-ea9daf1adfe0/d229a59b-4f6c-4714-8dd5-1c714a764b22.FPKM.txt.gz	d401e9cb1812210e1692f83df95277ba	530904	validated
0276de7f-98a7-40af-99ec-716d6fd57405	0276de7f-98a7-40af-99ec-716d6fd57405/a8e5861f-e86c-473d-8ff7-5630532b3c61.FPKM.txt.gz	c0ea72cce54c89268b115e306c9fa4bc	532518	validated
02d10ad1-1fa7-4f7d-94af-4a4b1424e9f8	02d10ad1-1fa7-4f7d-94af-4a4b1424e9f8/b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz	f15e6f45889c14b2e22677c6e2a4008f	520646	validated
05037c1f-6de0-4d25-9a1c-9f0cd5a200fe	05037c1f-6de0-4d25-9a1c-9f0cd5a200fe/c758cf60-68bc-4154-9d43-44339da29889.FPKM.txt.gz	afaf5f961639f2ded3ee3d438605d841	522942	validated
092ae34e-a707-414b-9f96-dd9170790450	092ae34e-a707-414b-9f96-dd9170790450/0211f2ea-a4f6-4a57-8f98-66bf0a327479.FPKM.txt.gz	4cd380da8a827f96d2ad958eac79838d	519940	validated
099a689e-e9f3-4d03-b22e-3e00da9c706c	099a689e-e9f3-4d03-b22e-3e00da9c706c/c6bcced6-eb76-43f3-963a-967f1cbfec38.FPKM.txt.gz	c1b2e5db36744eb4962331bee70944d9	507057	validated
1cc148e5-4de0-4726-a7bf-fdc1d12061d3	1cc148e5-4de0-4726-a7bf-fdc1d12061d3/9f0897a4-db0c-43f8-9d75-8debe9b6c847.FPKM.txt.gz	8e81d1c74eedec65bc83189b4cd97dae	519930	validated
1d4fd1cb-6538-4325-bddc-2ced7f437f13	1d4fd1cb-6538-4325-bddc-2ced7f437f13/4ba6c212-ef90-4ab3-b551-35c05cb6df90.FPKM.txt.gz	f426e0274fa698428558d2074b22e504	521039	validated
21896cbf-a16e-4dae-a7e6-f713ee2075fa	21896cbf-a16e-4dae-a7e6-f713ee2075fa/45c8b091-bc89-4b52-87d9-2d9f97280abe.FPKM.txt.gz	32074a18dd9c9f42c5cb7918605fa698	506682	validated
21f004dc-f3ab-4b5f-a97f-2b4f4a75fda4	21f004dc-f3ab-4b5f-a97f-2b4f4a75fda4/6069387b-32a3-4e1c-8386-050aa2da67c4.FPKM.txt.gz	d9e92a803aa6196c3daad52da739c987	544939	validated
22d24f52-b3ad-4cda-b991-b29fa0a23159	22d24f52-b3ad-4cda-b991-b29fa0a23159/e1877a07-b5ec-4ada-89cb-525e5abf966a.FPKM.txt.gz	3d88e0b01add290ce0bc61a0f949703e	525840	validated
2a4f53bf-8972-4533-8ef7-6ef20ffd2aaa	2a4f53bf-8972-4533-8ef7-6ef20ffd2aaa/62a17809-7816-47cf-959d-f00e5ea0c3b4.FPKM.txt.gz	a86a343b36c7dccdd716fa7d63e07bcc	525748	validated
362b6b82-8fa3-44d8-9881-7010559425b5	362b6b82-8fa3-44d8-9881-7010559425b5/7d229eb4-cdbd-4578-9e54-c7cbd7ef1378.FPKM.txt.gz	231292347166b2b3bfab87cef9b67844	525213	validated
38e828fd-8e79-4b0b-937c-9442a65ebca9	38e828fd-8e79-4b0b-937c-9442a65ebca9/45c4eed7-f80d-4d33-abbb-321ff5ed0750.FPKM.txt.gz	35ca3ce8e9d8529ec6f31eb7f8bff346	535825	validated
399e880f-281b-48d4-820e-b75992c8457c	399e880f-281b-48d4-820e-b75992c8457c/a3884915-b232-4c1f-b87a-d0a196ae7aeb.FPKM.txt.gz	743183938a5fc276ac7326d5a71c58f8	499635	validated
3bc08992-002e-47c5-93a6-fd1a71f5cb4c	3bc08992-002e-47c5-93a6-fd1a71f5cb4c/36d40974-4d4f-4726-b98f-1ceab329d0bf.FPKM.txt.gz	a0ba4d08132d686acc2510a0eb8e3e94	519116	validated
3f65d017-8bfc-46f0-999d-89c39289e6d0	3f65d017-8bfc-46f0-999d-89c39289e6d0/9683e884-734f-4487-97e6-5ada5e3d3ebc.FPKM.txt.gz	ed849f4ea8c04af630cba5929820b975	534982	validated
413c9658-2f85-42ad-abfb-07c840a00950	413c9658-2f85-42ad-abfb-07c840a00950/0abe1897-c3a9-47e5-8a59-e5a2232b23db.FPKM.txt.gz	ebacdaf5c5d8077d0d917e11f510fb07	505714	validated
